tv_ticker,company_name,sector,industry,market_cap,price,rsi14,rsi_decile,score,oversold_pctile,trend_pctile,hook_turning_up,pct_from_52w_high,prem_ma_200d,prem_ma_1y,prem_ma_4y,avg_dollar_vol_20d,asof,vendor_symbol,country,exchange,rsi21,rsi_pctile,rsi_rank,pct_from_52w_low,prem_ma_2y,prem_ma_3y,ma_200d,ma_1y,ma_2y,ma_3y,ma_4y,bars_available,rsi_fast_prev,shares_outstanding
NASDAQ:NWPX,"NWPX Infrastructure, Inc.",Basic Materials,Steel,1101339445.0,114.28,42.15,3,86.0,78.9,93.0,False,-23.78,23.64,35.39,135.61,18663900,2026-08-27,NWPX,United States,NASDAQ,43.07,21.0,795,131.2,76.32,112.16,92.4309,84.4079,64.8137,53.865,48.5033,1254,37.96,9637202.0
NYSE:REX,REX American Resources Corporation,Basic Materials,Chemicals,1349787684.0,40.98,36.9,1,84.8,92.2,77.3,False,-19.9,1.17,6.13,65.37,7067949,2026-08-27,REX,United States,NYSE,39.81,8.3,314,36.24,34.81,47.44,40.5068,38.614,30.3991,27.7952,24.7812,1254,42.88,32937718.0
NASDAQ:KALU,Kaiser Aluminum Corporation,Basic Materials,Aluminum,2562720171.0,156.75,42.7,3,80.6,76.7,84.5,False,-19.53,9.45,20.56,86.65,39604799,2026-08-27,KALU,United States,NASDAQ,44.66,22.9,869,116.99,56.94,74.3,143.2175,130.0208,99.8758,89.9302,83.9811,1254,41.65,16349092.0
NYSE:EVC,Entravision Communications Corporation,Communication Services,Advertising Agencies,668933389.0,8.09,31.96,1,95.6,97.6,93.5,True,-39.99,40.2,60.66,139.61,17185953,2026-08-27,EVC,United States,NYSE,37.85,2.6,98,324.4,130.13,155.98,5.7702,5.0355,3.5155,3.1604,3.3763,1254,30.23,82686451.0
NYSE:TDAY,"USA TODAY Co., Inc.",Communication Services,Publishing,938893510.0,6.4,28.73,1,87.8,99.0,76.6,False,-29.13,-5.21,2.89,63.47,21266111,2026-08-27,TDAY,United States,NYSE,33.09,1.1,43,83.38,21.48,42.57,6.7515,6.2205,5.2686,4.4891,3.9151,1254,28.73,146702111.0
NYSE:SPHR,Sphere Entertainment Co.,Communication Services,Entertainment,4279763321.0,147.34,42.29,3,87.5,78.3,96.7,False,-16.46,21.07,35.12,176.09,122121974,2026-08-27,SPHR,United States,NYSE,46.13,21.5,814,242.65,97.86,135.94,121.6993,109.0425,74.4682,62.4476,53.3663,1254,50.22,29046853.0
NYSE:TPR,"Tapestry, Inc.",Consumer Cyclical,Luxury Goods,24899990553.0,123.24,30.24,1,90.8,98.7,82.8,False,-25.21,-10.24,-6.33,80.27,480362358,2026-08-27,TPR,United States,NYSE,35.23,1.7,64,25.85,22.36,55.61,137.2921,131.5747,100.7198,79.1981,68.3632,1254,36.07,202044714.0
NASDAQ:CASY,"Caseys General Stores, Inc.",Consumer Cyclical,Specialty Retail,28248811249.0,763.38,33.59,1,90.3,96.2,84.4,False,-16.62,6.08,11.91,86.25,242042031,2026-08-27,CASY,United States,NASDAQ,38.87,4.0,152,54.91,37.15,61.63,719.6025,682.1587,556.6154,472.3151,409.8764,1254,41.25,37004914.0
AMEX:ELA,Envela Corporation,Consumer Cyclical,Luxury Goods,361671221.0,13.93,18.56,1,89.9,100.0,79.8,False,-51.77,-19.36,-9.32,71.61,2358651,2026-08-27,ELA,United States,AMEX,25.26,0.0,1,97.59,29.25,59.96,17.2743,15.3623,10.7779,8.7084,8.1174,1254,19.47,25963476.0
NASDAQ:MAMA,"Mama's Creations, Inc.",Consumer Defensive,Packaged Foods,744886602.0,16.02,38.21,2,90.3,89.6,91.0,False,-22.42,5.91,13.35,120.36,8583106,2026-08-27,MAMA,United States,NASDAQ,42.35,10.6,402,100.75,46.82,77.6,15.1267,14.133,10.911,9.0201,7.27,1254,44.78,46497291.0
