tv_ticker,company_name,sector,industry,market_cap,price,rsi14,rsi_decile,score,oversold_pctile,trend_pctile,hook_turning_up,pct_from_52w_high,prem_ma_200d,prem_ma_1y,prem_ma_4y,avg_dollar_vol_20d,asof,vendor_symbol,country,exchange,rsi21,rsi_pctile,rsi_rank,pct_from_52w_low,prem_ma_2y,prem_ma_3y,ma_200d,ma_1y,ma_2y,ma_3y,ma_4y,bars_available,rsi_fast_prev,shares_outstanding
NASDAQ:MIRM,"Mirum Pharmaceuticals, Inc.",Healthcare,Biotechnology,6137760498.0,100.65,39.34,1,90.6,90.9,90.3,True,-21.72,7.99,13.29,116.53,77652760,2026-08-07,MIRM,United States,NASDAQ,42.6,9.5,359,68.25,50.88,85.9,93.2015,88.8426,66.7102,54.1424,46.4834,1255,29.64,60981227.0
NASDAQ:GLUE,"Monte Rosa Therapeutics, Inc.",Healthcare,Biotechnology,1341533158.0,15.88,31.38,1,90.4,97.7,83.0,False,-37.26,-13.2,0.36,85.46,30897135,2026-08-07,GLUE,United States,NASDAQ,36.25,2.6,96,279.0,46.33,77.7,18.2939,15.8226,10.8525,8.9362,8.5623,1255,30.4,84479418.0
NASDAQ:AXSM,"Axsome Therapeutics, Inc.",Healthcare,Biotechnology,10947550619.0,212.74,37.62,1,90.4,92.8,87.9,True,-16.63,13.57,22.87,104.8,156826066,2026-08-07,AXSM,United States,NASDAQ,41.19,7.3,276,104.64,54.82,82.07,187.3202,173.1354,137.4068,116.8434,103.8771,1255,35.08,51459766.0
NASDAQ:STRL,"Sterling Infrastructure, Inc.",Industrials,Engineering & Construction,16787057995.0,547.06,38.93,1,94.1,91.4,96.8,False,-44.95,7.56,16.52,186.63,534967965,2026-08-07,STRL,United States,NASDAQ,40.94,8.8,334,99.79,72.32,125.78,508.5963,469.4969,317.4741,242.2984,190.8622,1255,37.37,30685954.0
NASDAQ:POWL,"Powell Industries, Inc.",Industrials,Electrical Equipment & Parts,7707479662.0,211.56,42.0,2,91.7,86.6,96.8,True,-34.29,9.57,22.36,186.45,192522874,2026-08-07,POWL,United States,NASDAQ,42.47,14.1,532,172.66,73.62,124.59,193.0734,172.8947,121.8551,94.1995,73.8551,1255,39.9,36431649.0
NASDAQ:MYRG,"MYR Group, Inc.",Industrials,Engineering & Construction,5253376335.0,337.42,34.1,1,91.3,96.1,86.5,True,-32.67,7.43,16.97,98.17,114175741,2026-08-07,MYRG,United States,NASDAQ,37.29,4.2,160,94.13,58.03,77.16,314.0757,288.464,213.5186,190.4658,170.2658,1255,30.9,15569250.0
NYSE:OUT,OUTFRONT Media Inc.,Real Estate,REIT - Specialty,5494942147.0,31.21,37.07,1,89.2,93.8,84.5,True,-7.69,15.47,24.41,90.19,55890081,2026-08-07,OUT,United States,NYSE,43.05,6.5,243,95.71,52.11,78.55,27.0279,25.0857,20.5182,17.4798,16.4096,1255,36.06,176063510.0
NASDAQ:DHC,Diversified Healthcare Trust - Common Shares of Beneficial Interest,Real Estate,REIT - Healthcare Facilities,2135383087.0,8.82,45.9,3,87.1,78.7,95.4,True,-8.51,28.94,40.91,171.53,15080646,2026-08-07,DHC,United States,NASDAQ,48.41,22.8,862,164.22,92.38,125.38,6.8403,6.2593,4.5846,3.9133,3.2482,1255,43.56,242106926.0
NYSE:PSTL,"Postal Realty Trust, Inc.",Real Estate,REIT - Office,695611000.0,23.11,43.69,2,80.4,83.2,77.6,True,-7.49,18.99,25.14,66.97,5841203,2026-08-07,PSTL,United States,NYSE,46.76,17.6,664,66.62,47.82,60.3,19.4214,18.4666,15.6335,14.4164,13.8412,1255,37.86,30100000.0
NASDAQ:DAVE,Dave Inc.,Technology,Software - Application,3624454458.0,317.93,35.4,1,96.7,95.0,98.4,False,-28.16,28.0,32.46,235.88,193354479,2026-08-07,DAVE,United States,NASDAQ,41.62,5.3,200,103.91,83.05,158.38,248.3847,240.0235,173.6836,123.0458,94.6548,1255,43.97,11400165.0
NASDAQ:LASR,"nLIGHT, Inc.",Technology,Semiconductors,3167631054.0,56.155,39.21,1,92.9,91.1,94.8,False,-33.9,0.46,11.53,161.12,76716919,2026-08-07,LASR,United States,NASDAQ,42.3,9.2,349,174.33,80.0,126.74,55.9004,50.3492,31.1974,24.7664,21.5057,1255,57.0,56408709.0
NASDAQ:VISN,"Vistance Networks, Inc.",Technology,Communication Equipment,2467731763.0,10.94,40.67,2,91.7,88.8,94.6,True,-15.06,9.37,14.84,156.96,80433902,2026-08-07,VISN,United States,NASDAQ,42.78,11.9,449,49.96,78.61,147.79,10.003,9.5265,6.1252,4.4151,4.2574,1255,29.93,225569631.0
NASDAQ:DGXX,Digi Power X Inc. - Common Subordinate Voting Shares,Utilities,Utilities - Independent Power Producers,385304518.0,3.91,43.14,2,84.6,84.4,84.9,False,-53.78,-2.82,4.55,92.03,15101881,2026-08-07,DGXX,United States,NASDAQ,42.64,16.5,622,106.88,42.19,69.69,4.0235,3.7398,2.7499,2.3042,2.0362,1255,39.7,98543355.0
NYSE:ETR,Entergy Corporation,Utilities,Utilities - Regulated Electric,50013563956.0,107.18,37.2,1,83.7,93.7,73.7,True,-8.67,3.28,6.31,58.72,302403397,2026-08-07,ETR,United States,NYSE,40.81,6.6,249,25.76,22.54,44.65,103.781,100.8224,87.4674,74.0972,67.526,1255,34.34,466631498.0
NYSE:VST,Vistra Corp.,Utilities,Utilities - Independent Power Producers,47404483176.0,140.59,39.22,1,77.6,91.1,64.0,False,-35.22,-13.18,-17.18,45.54,757680428,2026-08-07,VST,United States,NYSE,41.98,9.3,350,4.51,-9.26,16.06,161.9299,169.7534,154.9301,121.1335,96.6021,1255,39.76,337182468.0
