tv_ticker,company_name,sector,industry,market_cap,price,rsi14,rsi_decile,score,oversold_pctile,trend_pctile,hook_turning_up,pct_from_52w_high,prem_ma_200d,prem_ma_1y,prem_ma_4y,avg_dollar_vol_20d,asof,vendor_symbol,country,exchange,rsi21,rsi_pctile,rsi_rank,pct_from_52w_low,prem_ma_2y,prem_ma_3y,ma_200d,ma_1y,ma_2y,ma_3y,ma_4y,bars_available,rsi_fast_prev,shares_outstanding
NASDAQ:NWPX,"NWPX Infrastructure, Inc.",Basic Materials,Steel,1037733911.0,107.68,34.02,1,93.6,95.4,91.7,False,-28.18,14.55,25.54,119.93,16522838,2026-09-04,NWPX,United States,NASDAQ,37.63,5.4,206,117.84,64.17,97.64,93.9989,85.7714,65.5893,54.482,48.9612,1255,37.98,9637202.0
AMEX:TMQ,Trilogy Metals Inc.,Basic Materials,Other Industrial Metals & Mining,570060609.0,3.3,41.97,3,84.4,79.5,89.3,True,-68.87,-20.18,-19.45,106.18,4303282,2026-09-04,TMQ,Canada,AMEX,44.55,21.4,815,79.35,23.5,69.86,4.1345,4.0969,2.6721,1.9428,1.6005,1255,40.9,172745639.0
NASDAQ:HYMC,Hycroft Mining Holding Corporation,Basic Materials,Gold,2114292342.0,22.69,44.45,3,84.0,72.1,96.0,False,-59.29,-24.11,-9.99,153.69,48925099,2026-09-04,HYMC,United States,NASDAQ,45.95,28.7,1092,312.55,61.46,121.45,29.8991,25.2084,14.0531,10.2462,8.9441,1255,46.33,93181681.0
NYSE:EVC,Entravision Communications Corporation,Communication Services,Advertising Agencies,696219917.0,8.42,39.49,2,90.7,86.2,95.2,False,-37.54,41.91,62.73,147.62,15811222,2026-09-04,EVC,United States,NYSE,41.69,14.5,553,341.71,134.38,162.94,5.9334,5.1743,3.5925,3.2022,3.4004,1255,39.29,82686451.0
NASDAQ:ATEX,Anterix Inc.,Communication Services,Telecom Services,1682133266.0,86.27,41.68,3,87.3,80.5,94.1,False,-20.27,60.87,84.06,138.34,30979438,2026-09-04,ATEX,United States,NASDAQ,45.75,20.4,776,379.54,121.64,131.86,53.6284,46.8693,38.9232,37.2078,36.1966,1255,42.74,19498473.0
NYSE:SPHR,Sphere Entertainment Co.,Communication Services,Entertainment,4136852804.0,142.42,42.81,3,87.1,77.3,96.9,False,-19.25,15.26,28.0,163.57,109882745,2026-09-04,SPHR,United States,NYSE,45.3,23.6,896,191.25,88.5,125.07,123.5604,111.2676,75.5543,63.279,54.0353,1255,43.23,29046853.0
NASDAQ:LIND,Lindblad Expeditions Holdings Inc.,Consumer Cyclical,Travel Services,1697072000.0,25.87,30.91,1,94.4,98.1,90.6,False,-24.97,24.14,35.25,113.95,24010131,2026-09-04,LIND,United States,NASDAQ,38.41,2.6,100,125.94,70.37,100.41,20.8399,19.1277,15.1844,12.9086,12.0915,1255,31.39,65600000.0
NYSE:VSXY,Victorias Secret & Co.,Consumer Cyclical,Apparel Retail,6006394363.0,75.56,35.17,1,93.1,94.0,92.2,True,-24.42,20.15,34.47,123.71,160055389,2026-09-04,VSXY,United States,NYSE,40.85,7.0,266,195.85,82.66,118.71,62.8871,56.1911,41.3654,34.5478,33.7751,1255,31.48,79491720.0
NYSE:TPR,"Tapestry, Inc.",Consumer Cyclical,Luxury Goods,24677741368.0,122.14,32.53,1,89.8,96.9,82.8,True,-25.6,-11.12,-7.18,77.93,509804351,2026-09-04,TPR,United States,NYSE,36.28,3.7,143,25.2,20.53,53.39,137.4156,131.5869,101.3339,79.629,68.6442,1255,32.52,202044714.0
NASDAQ:MAMA,"Mama's Creations, Inc.",Consumer Defensive,Packaged Foods,704898932.0,15.16,34.73,1,91.8,94.5,89.2,False,-26.59,-0.87,6.0,106.11,8983584,2026-09-04,MAMA,United States,NASDAQ,39.02,6.4,243,61.11,37.78,66.27,15.2932,14.3015,11.0027,9.1175,7.3552,1255,41.0,46497291.0
NASDAQ:COCO,"The Vita Coco Company, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,3190050755.0,55.13,27.2,1,88.2,99.5,76.9,True,-34.38,-9.66,-3.16,63.2,56932701,2026-09-04,COCO,United States,NASDAQ,32.89,1.1,43,43.61,21.39,41.67,61.0243,56.9296,45.4139,38.9149,33.7815,1223,27.0,57864153.0
NASDAQ:APEI,"American Public Education, Inc.",Consumer Defensive,Education & Training Services,832060616.0,45.36,39.83,2,87.2,85.3,89.0,False,-25.47,-5.71,-0.38,104.1,13610953,2026-09-04,APEI,United States,NASDAQ,41.21,15.5,588,47.9,32.53,69.69,48.1076,45.5333,34.2267,26.7307,22.2245,1255,39.92,18343488.0
NYSE:DTM,"DT Midstream, Inc.",Energy,Oil & Gas Midstream,13213021138.0,129.52,42.42,3,76.8,78.2,75.4,True,-14.08,-2.49,1.43,59.93,130654835,2026-09-04,DTM,United States,NYSE,42.25,22.7,863,27.31,16.82,39.75,132.8227,127.6965,110.8712,92.6771,80.9856,1255,39.96,102015296.0
NYSE:VTOL,"Bristow Group, Inc.",Energy,Oil & Gas Equipment & Services,1282523862.0,43.32,40.94,2,69.0,82.8,55.3,False,-12.89,0.48,3.12,32.13,11010408,2026-09-04,VTOL,United States,NYSE,44.39,18.2,691,22.39,14.38,23.64,43.111,42.0088,37.873,35.0369,32.7864,1255,42.51,29605814.0
