tv_ticker,company_name,sector,industry,market_cap,price,rsi14,rsi_decile,score,oversold_pctile,trend_pctile,hook_turning_up,pct_from_52w_high,prem_ma_200d,prem_ma_1y,prem_ma_4y,avg_dollar_vol_20d,asof,vendor_symbol,country,exchange,rsi21,rsi_pctile,rsi_rank,pct_from_52w_low,prem_ma_2y,prem_ma_3y,ma_200d,ma_1y,ma_2y,ma_3y,ma_4y,bars_available,rsi_fast_prev,shares_outstanding
NASDAQ:NWPX,"NWPX Infrastructure, Inc.",Basic Materials,Steel,1060863196.0,110.08,32.58,1,94.3,96.6,92.0,True,-26.58,20.42,31.9,128.42,22801824,2026-08-21,NWPX,United States,NASDAQ,37.57,3.8,142,122.7,71.27,105.98,91.4124,83.459,64.2712,53.4419,48.1915,1255,32.04,9637202.0
NYSE:PRM,"Perimeter Solutions, SA",Basic Materials,Specialty Chemicals,5128714861.0,31.44,42.83,3,85.2,77.7,92.6,False,-16.78,7.91,13.66,131.6,58527849,2026-08-21,PRM,United States,NYSE,45.22,22.5,849,68.22,56.09,103.66,29.1347,27.6608,20.1418,15.4377,13.575,1200,41.32,163127063.0
NASDAQ:KALU,Kaiser Aluminum Corporation,Basic Materials,Aluminum,2520376023.0,154.16,40.06,2,84.7,85.4,84.0,True,-20.86,8.6,19.71,84.32,44768858,2026-08-21,KALU,United States,NASDAQ,43.07,15.0,567,113.4,55.44,72.3,141.9478,128.7808,99.1754,89.4712,83.6367,1255,37.9,16349092.0
NYSE:EVC,Entravision Communications Corporation,Communication Services,Advertising Agencies,667279660.0,8.07,30.19,1,95.8,98.2,93.5,True,-40.13,42.59,63.23,140.03,19187830,2026-08-21,EVC,United States,NYSE,37.09,2.2,82,323.35,132.93,157.51,5.6596,4.9438,3.4645,3.1339,3.3621,1255,29.63,82686451.0
NYSE:TDAY,"USA TODAY Co., Inc.",Communication Services,Publishing,949162658.0,6.47,28.16,1,88.2,98.9,77.4,False,-28.35,-3.79,4.63,65.95,21293348,2026-08-21,TDAY,United States,NYSE,32.99,1.2,44,85.39,23.08,44.71,6.7245,6.1838,5.2567,4.4709,3.8988,1255,28.69,146702111.0
NASDAQ:ECHO,EchoStar Corporation,Communication Services,Telecom Services,13756348386.0,86.81,41.27,2,86.6,82.3,91.0,False,-38.78,-18.77,-12.56,120.55,387115113,2026-08-21,ECHO,United States,NASDAQ,41.37,18.1,682,215.67,39.88,86.53,106.8647,99.2816,62.0607,46.5385,39.361,1255,41.44,158465020.0
NASDAQ:GTX,Garrett Motion Inc.,Consumer Cyclical,Auto Parts,4964454681.0,26.62,30.7,1,95.2,98.0,92.4,True,-26.52,14.31,25.06,130.42,69728496,2026-08-21,GTX,United States,NASDAQ,36.31,2.4,89,115.54,74.14,105.13,23.2883,21.2851,15.2863,12.9769,11.5528,1255,28.8,186493414.0
AMEX:ELA,Envela Corporation,Consumer Cyclical,Luxury Goods,366863916.0,14.13,17.64,1,90.4,99.9,80.9,True,-51.07,-17.81,-7.38,74.57,2689946,2026-08-21,ELA,United States,AMEX,25.06,0.1,3,100.43,31.97,63.1,17.1914,15.256,10.7068,8.6632,8.0941,1255,17.29,25963476.0
NYSE:TPR,"Tapestry, Inc.",Consumer Cyclical,Luxury Goods,26300160421.0,130.17,34.66,1,90.1,94.6,85.6,True,-21.0,-4.84,-0.7,91.47,446741063,2026-08-21,TPR,United States,NYSE,38.91,6.0,226,34.0,30.16,65.44,136.7855,131.0842,100.0072,78.6833,67.9844,1255,34.14,202044714.0
NASDAQ:MAMA,"Mama's Creations, Inc.",Consumer Defensive,Packaged Foods,764415464.0,16.44,40.93,2,87.5,83.1,91.9,True,-20.39,9.51,17.38,128.01,8573532,2026-08-21,MAMA,United States,NASDAQ,44.5,17.3,651,106.02,51.58,83.67,15.012,14.0056,10.8459,8.9508,7.2103,1255,35.57,46497291.0
NASDAQ:APEI,"American Public Education, Inc.",Consumer Defensive,Education & Training Services,836646488.0,45.61,40.35,2,86.8,84.5,89.1,True,-25.06,-3.9,1.5,108.44,15919208,2026-08-21,APEI,United States,NASDAQ,41.4,15.9,600,51.13,35.65,74.1,47.4612,44.9362,33.624,26.1982,21.8821,1255,35.19,18343488.0
NASDAQ:LINC,Lincoln Educational Services Corporation,Consumer Defensive,Education & Training Services,815857124.0,25.72,19.91,1,86.2,99.9,72.5,False,-53.81,-27.76,-21.17,55.62,36203010,2026-08-21,LINC,United States,NASDAQ,25.4,0.1,5,44.49,3.43,28.88,35.6053,32.6275,24.8669,19.9571,16.5277,1255,20.41,31720728.0
NYSE:EFXT,Enerflex Ltd,Energy,Oil & Gas Equipment & Services,2482841844.0,20.34,39.24,2,89.0,87.2,90.7,True,-28.17,-0.82,9.75,118.47,17237597,2026-08-21,EFXT,Canada,NYSE,40.6,13.2,497,110.09,55.05,94.68,20.5078,18.5323,13.1187,10.4478,9.31,1255,37.16,122066954.0
NYSE:SEI,"Solaris Energy Infrastructure, Inc.",Energy,Oil & Gas Equipment & Services,3265159306.0,53.28,40.93,2,87.2,83.1,91.3,False,-35.71,-10.08,-3.59,123.2,189446263,2026-08-21,SEI,United States,NYSE,42.55,17.3,652,115.97,36.39,84.13,59.2512,55.2626,39.064,28.936,23.8704,1255,41.99,61283020.0
NYSE:AROC,"Archrock, Inc.",Energy,Oil & Gas Equipment & Services,5573318753.0,31.8,32.75,1,86.8,96.4,77.1,False,-23.7,-1.72,3.65,64.47,58695971,2026-08-21,AROC,United States,NYSE,36.99,4.0,151,40.73,18.58,37.81,32.3579,30.68,26.8162,23.0753,19.3348,1255,34.73,175261596.0
NASDAQ:HUT,Hut 8 Corp.,Financial Services,Capital Markets,9104359896.0,80.86,40.87,2,90.6,83.2,98.0,False,-39.21,10.65,22.83,210.66,474793007,2026-08-21,HUT,United States,NASDAQ,42.74,17.1,646,278.38,93.79,157.91,73.0781,65.8282,41.7265,31.3515,26.0285,1255,45.67,112594112.0
NASDAQ:WULF,TeraWulf Inc.,Financial Services,Capital Markets,7750130568.0,15.64,39.89,2,90.2,85.9,94.5,False,-46.03,-11.86,-5.33,149.46,581957180,2026-08-21,WULF,United States,NASDAQ,40.95,14.5,548,76.32,46.21,97.77,17.7451,16.5212,10.6968,7.9081,6.2695,1255,42.77,495532645.0
NASDAQ:ESQ,"Esquire Financial Holdings, Inc.",Financial Services,Banks - Regional,997362314.0,115.31,36.22,1,85.2,92.3,78.0,True,-13.12,4.89,7.0,67.85,17786178,2026-08-21,ESQ,United States,NASDAQ,41.88,8.1,305,24.99,23.62,47.88,109.9387,107.7653,93.2765,77.9729,68.6985,1255,32.31,8649400.0
NASDAQ:LQDA,Liquidia Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,6102246153.0,68.62,35.82,1,96.0,93.0,99.0,False,-24.62,39.3,55.31,263.52,130092968,2026-08-21,LQDA,United States,NASDAQ,41.61,7.4,279,214.77,137.2,199.25,49.2606,44.1838,28.9296,22.9306,18.8767,1255,38.16,88928099.0
