tv_ticker,company_name,sector,industry,market_cap,price,rsi14,rsi_decile,score,oversold_pctile,trend_pctile,hook_turning_up,pct_from_52w_high,prem_ma_200d,prem_ma_1y,prem_ma_4y,avg_dollar_vol_20d,asof,vendor_symbol,country,exchange,rsi21,rsi_pctile,rsi_rank,pct_from_52w_low,prem_ma_2y,prem_ma_3y,ma_200d,ma_1y,ma_2y,ma_3y,ma_4y,bars_available,rsi_fast_prev,shares_outstanding
NASDAQ:NWPX,"NWPX Infrastructure, Inc.",Basic Materials,Steel,1119457384.0,116.16,38.05,1,93.4,93.7,93.1,False,-22.53,28.98,41.23,143.05,25897686,2026-08-14,NWPX,United States,NASDAQ,41.76,7.9,298,135.0,82.74,119.56,90.0596,82.251,63.5643,52.9053,47.7917,1255,36.68,9637202.0
NYSE:UAMY,United States Antimony Corporation,Basic Materials,Other Industrial Metals & Mining,816502777.0,5.51,44.81,2,86.2,83.1,89.3,False,-68.46,-29.85,-29.02,114.07,37106535,2026-08-14,UAMY,United States,NYSE,44.43,19.5,735,33.41,14.71,66.87,7.8547,7.7626,4.8036,3.3019,2.5739,1255,43.02,148185622.0
NASDAQ:ALTO,"Alto Ingredients, Inc.",Basic Materials,Specialty Chemicals,323887940.0,4.18,38.76,1,84.2,93.0,75.5,False,-30.22,8.53,27.25,63.97,10951900,2026-08-14,ALTO,United States,NASDAQ,41.3,8.7,328,354.35,80.35,76.23,3.8516,3.2849,2.3178,2.3719,2.5493,1255,39.05,77485153.0
NYSE:EVC,Entravision Communications Corporation,Communication Services,Advertising Agencies,745004924.0,9.01,35.49,1,95.6,95.9,95.3,True,-33.16,63.85,86.79,169.62,20172782,2026-08-14,EVC,United States,NYSE,41.43,5.2,196,372.67,165.24,190.73,5.499,4.8236,3.397,3.0991,3.3417,1255,34.06,82686451.0
NYSE:TDAY,"USA TODAY Co., Inc.",Communication Services,Publishing,1032782861.0,7.04,31.72,1,89.8,98.1,81.5,True,-22.04,5.69,14.97,81.75,18198571,2026-08-14,TDAY,United States,NYSE,36.66,2.5,93,101.72,34.61,58.43,6.6609,6.1235,5.23,4.4437,3.8734,1254,26.71,146702111.0
NASDAQ:ATEX,Anterix Inc.,Communication Services,Telecom Services,1784695234.0,91.53,46.63,3,86.4,78.5,94.4,False,-15.41,89.43,113.68,157.56,34336830,2026-08-14,ATEX,United States,NASDAQ,50.13,24.0,904,408.78,145.12,153.72,48.3179,42.835,37.3413,36.0751,35.5376,1255,46.59,19498473.0
NYSE:RSI,"Rush Street Interactive, Inc.",Consumer Cyclical,Gambling,2633552397.0,25.58,37.15,1,93.1,94.4,91.7,False,-25.9,11.81,14.4,128.18,86934104,2026-08-14,RSI,United States,NYSE,40.29,7.1,268,60.98,46.37,86.97,22.8771,22.3611,17.4761,13.6814,11.2106,1254,31.09,102953573.0
AMEX:ELA,Envela Corporation,Consumer Cyclical,Luxury Goods,416194520.0,16.03,22.71,1,93.1,99.9,86.3,False,-44.49,-5.96,6.16,98.88,2816616,2026-08-14,ELA,United States,AMEX,29.4,0.2,8,130.98,51.11,86.35,17.0462,15.0992,10.6081,8.6022,8.0602,1255,23.16,25963476.0
NASDAQ:GTX,Garrett Motion Inc.,Consumer Cyclical,Auto Parts,5408309006.0,29.0,39.61,1,93.0,91.9,94.0,True,-19.96,26.27,38.56,153.75,69935092,2026-08-14,GTX,United States,NASDAQ,43.09,9.8,371,134.81,92.69,126.24,22.967,20.9303,15.0501,12.818,11.4284,1254,37.46,186493414.0
NASDAQ:APEI,"American Public Education, Inc.",Consumer Defensive,Education & Training Services,829675962.0,45.23,36.19,1,91.6,95.3,87.9,False,-25.68,-4.15,1.34,108.19,17148384,2026-08-14,APEI,United States,NASDAQ,39.14,6.0,227,58.26,35.75,74.37,47.1871,44.6317,33.3196,25.9397,21.725,1255,36.21,18343488.0
