tv_ticker,exchange,local_symbol,vendor_symbol,mcap_band,mcap_decile_file,us_listed,symbol_needs_manual_map
NYSE:GMED,NYSE,GMED,GMED,$13B-7B,3,Y,N
NSE:LAURUSLABS,NSE,LAURUSLABS,LAURUSLABS.NS,$13B-7B,3,N,N
SSE:600549,SSE,600549,600549.SS,$13B-7B,3,N,N
ASX:LYC,ASX,LYC,LYC.AX,$13B-7B,3,N,N
NYSE:DAR,NYSE,DAR,DAR,$13B-7B,3,Y,N
OMXSTO:SECU_B,OMXSTO,SECU_B,SECU_B.ST,$13B-7B,3,N,N
SSE:601838,SSE,601838,601838.SS,$13B-7B,3,N,N
TSE:7309,TSE,7309,7309.T,$13B-7B,3,N,N
NASDAQ:VSAT,NASDAQ,VSAT,VSAT,$13B-7B,3,Y,N
NSE:SRF,NSE,SRF,SRF.NS,$13B-7B,3,N,N
NYSE:QXO,NYSE,QXO,QXO,$13B-7B,3,Y,N
NYSE:CFR,NYSE,CFR,CFR,$13B-7B,3,Y,N
NYSE:PNR,NYSE,PNR,PNR,$13B-7B,3,Y,N
SZSE:002422,SZSE,002422,002422.SZ,$13B-7B,3,N,N
SSE:601916,SSE,601916,601916.SS,$13B-7B,3,N,N
SZSE:300475,SZSE,300475,300475.SZ,$13B-7B,3,N,N
SZSE:000301,SZSE,000301,000301.SZ,$13B-7B,3,N,N
NYSE:OGE,NYSE,OGE,OGE,$13B-7B,3,Y,N
OSL:ORK,OSL,ORK,ORK.OL,$13B-7B,3,N,N
TSE:6479,TSE,6479,6479.T,$13B-7B,3,N,N
TSX:X,TSX,X,X.TO,$13B-7B,3,N,N
ASX:QAN,ASX,QAN,QAN.AX,$13B-7B,3,N,N
HKEX:291,HKEX,291,0291.HK,$13B-7B,3,N,N
NSE:DIXON,NSE,DIXON,DIXON.NS,$13B-7B,3,N,N
TSX:KEY,TSX,KEY,KEY.TO,$13B-7B,3,N,N
NASDAQ:ONB,NASDAQ,ONB,ONB,$13B-7B,3,Y,N
TSE:5019,TSE,5019,5019.T,$13B-7B,3,N,N
NSE:HINDPETRO,NSE,HINDPETRO,HINDPETRO.NS,$13B-7B,3,N,N
NYSE:ORI,NYSE,ORI,ORI,$13B-7B,3,Y,N
